InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
572305,82482,wooden picture frame white finish,1,2011-10-23 15:09:00,2.95,17131.0,United Kingdom,2.95
574474,84231,easter bunny with basket on back,1,2011-11-04 12:05:00,0.65,17979.0,United Kingdom,0.65
537154,22563,happy stencil craft,1,2010-12-05 13:05:00,1.25,15808.0,United Kingdom,1.25
554372,22173,metal 4 hook hanger french chateau,8,2011-05-24 10:50:00,2.95,13842.0,United Kingdom,23.6
545227,22558,clothes pegs retrospot pack 24,24,2011-03-01 09:35:00,1.49,12428.0,Finland,35.76
577502,23256,childrens cutlery spaceboy,4,2011-11-20 12:34:00,4.15,12598.0,France,16.6
573763,21930,jumbo storage bag skulls,10,2011-11-01 09:56:00,2.08,17139.0,United Kingdom,20.8
573775,22910,paper chain kit vintage christmas,80,2011-11-01 10:30:00,2.55,13881.0,United Kingdom,204.0
571429,22197,popcorn holder,5,2011-10-17 12:50:00,0.85,15335.0,United Kingdom,4.25
569026,20975,12 pencils small tube red retrospot,24,2011-09-30 10:18:00,0.65,16101.0,United Kingdom,15.600000000000001
542521,21985,pack of 12 hearts design tissues,12,2011-01-28 12:28:00,0.29,17965.0,United Kingdom,3.4799999999999995
575959,21381,mini wooden happy birthday garland,12,2011-11-13 12:27:00,1.69,14547.0,United Kingdom,20.28
571456,20727,lunch bag  black skull.,5,2011-10-17 13:57:00,1.65,16729.0,United Kingdom,8.25
562046,23102,silver hearts table decoration,12,2011-08-02 10:34:00,0.83,12378.0,Switzerland,9.959999999999999
570597,23231,wrap  vintage doily,25,2011-10-11 11:49:00,0.42,16837.0,United Kingdom,10.5
564336,22320,birds mobile vintage design,1,2011-08-24 14:28:00,5.95,12748.0,United Kingdom,5.95
548148,21928,jumbo bag scandinavian blue paisley,1,2011-03-29 12:31:00,1.95,17931.0,United Kingdom,1.95
552726,22492,mini paint set vintage,36,2011-05-11 10:31:00,0.65,14920.0,United Kingdom,23.400000000000002
566967,22593,christmas gingham star,12,2011-09-15 18:05:00,0.85,16746.0,United Kingdom,10.2
563585,22383,lunch bag suki design,2,2011-08-17 17:01:00,1.65,17070.0,United Kingdom,3.3
565579,21181,please one person metal sign,3,2011-09-05 12:35:00,2.1,18283.0,United Kingdom,6.300000000000001
562450,POST,postage,3,2011-08-05 08:40:00,18.0,12562.0,France,54.0
579885,21115,rose caravan doorstop,2,2011-11-30 17:37:00,6.75,15444.0,United Kingdom,13.5
557529,21755,love building block word,18,2011-06-21 09:58:00,5.45,15189.0,United Kingdom,98.10000000000001
552804,23110,parisienne key cabinet,2,2011-05-11 12:32:00,5.75,15615.0,United Kingdom,11.5
548715,23233,wrap poppies  design,25,2011-04-03 15:22:00,0.42,17758.0,United Kingdom,10.5
557006,16045,popart wooden pencils asst,100,2011-06-16 11:29:00,0.04,14282.0,United Kingdom,4.0
561873,22558,clothes pegs retrospot pack 24,1,2011-07-31 11:48:00,1.65,13316.0,United Kingdom,1.65
559824,22667,recipe box retrospot,1,2011-07-12 17:23:00,2.95,17576.0,United Kingdom,2.95
573415,21231,sweetheart ceramic trinket box,4,2011-10-30 16:17:00,1.25,13607.0,United Kingdom,5.0
570488,21878,pack of 6 sandcastle flags assorted,1,2011-10-10 17:12:00,1.63,14096.0,United Kingdom,1.63
567707,23126,feltcraft girl amelie kit,24,2011-09-22 09:52:00,4.95,14676.0,United Kingdom,118.80000000000001
538827,20704,mr robot soft toy,16,2010-12-14 12:59:00,1.95,14298.0,United Kingdom,31.2
575756,22457,natural slate heart chalkboard,1,2011-11-11 10:48:00,2.95,18118.0,United Kingdom,2.95
543911,21700,big doughnut fridge magnets,72,2011-02-14 12:46:00,0.85,17829.0,United Arab Emirates,61.199999999999996
579472,23251,vintage red enamel trim mug,1,2011-11-29 15:09:00,1.25,13521.0,United Kingdom,1.25
575070,21931,jumbo storage bag suki,3,2011-11-08 12:58:00,2.08,17841.0,United Kingdom,6.24
581383,23301,gardeners kneeling pad keep calm,12,2011-12-08 13:04:00,1.65,15399.0,United Kingdom,19.799999999999997
560742,22720,set of 3 cake tins pantry design,3,2011-07-20 15:44:00,4.95,14755.0,United Kingdom,14.850000000000001
551824,21870,i can only please one person mug,12,2011-05-04 12:32:00,1.25,15128.0,United Kingdom,15.0
539019,20751,funky washing up gloves assorted,2,2010-12-15 14:12:00,2.1,17551.0,United Kingdom,4.2
581191,90214C,"letter ""c"" bling key ring",1,2011-12-07 16:56:00,0.29,17449.0,United Kingdom,0.29
554080,22993,set of 4 pantry jelly moulds,3,2011-05-22 11:42:00,1.25,16931.0,United Kingdom,3.75
561600,22173,metal 4 hook hanger french chateau,2,2011-07-28 11:29:00,2.95,15861.0,United Kingdom,5.9
568706,48187,doormat new england,2,2011-09-28 15:32:00,7.95,14911.0,EIRE,15.9
571965,22971,queens guard coffee mug,2,2011-10-20 10:41:00,2.55,17238.0,United Kingdom,5.1
557639,22483,red gingham teddy bear,1,2011-06-21 16:13:00,2.95,12933.0,United Kingdom,2.95
547019,20996,jazz hearts address book,5,2011-03-18 14:54:00,0.42,17841.0,United Kingdom,2.1
548711,22965,3 traditional biscuit cutters  set,1,2011-04-03 14:24:00,2.1,18116.0,United Kingdom,2.1
558556,21949,set of 6 strawberry chopsticks,1,2011-06-30 13:14:00,1.25,17954.0,United Kingdom,1.25
542080,21094,set/6 red spotty paper plates,12,2011-01-25 12:16:00,0.85,13815.0,Germany,10.2
543400,22380,toy tidy spaceboy,10,2011-02-08 11:27:00,2.1,14688.0,United Kingdom,21.0
563709,23215,jingle bell heart antique silver,3,2011-08-18 15:17:00,2.08,15472.0,United Kingdom,6.24
539075,22895,set of 2 tea towels apple and pears,1,2010-12-15 17:28:00,2.95,17189.0,United Kingdom,2.95
